id,projeto_id,data_venda,valor_final_brl,quantidade_vendida,vendedor_id,regiao,cota_meta_vendas_id
71,71,2024-10-16,89055.6,94,110,Centro-Oeste,1
72,72,2024-12-09,54298.96,19,108,Norte,1
73,73,2024-02-07,126836.8,40,109,Norte,1
74,74,2025-01-20,112775.6,35,108,Nordeste,1
75,75,2025-05-06,86312.6,20,110,Nordeste,1
76,76,2024-04-16,111063.12,24,106,Centro-Oeste,1
77,77,2024-08-15,49935.41,7,109,Sul,1
78,78,2024-08-24,7156.73,1,105,Centro-Oeste,1
79,79,2024-03-03,129541.02,21,103,Sudeste,1
80,80,2025-03-02,117134.05,19,103,Sul,1
81,81,2024-05-28,59438.4,56,108,Nordeste,1
82,82,2024-05-19,150204.56,22,102,Sudeste,1
84,84,2025-06-28,75683.04,8,101,Sul,1
85,85,2025-07-13,43110.32,22,107,Centro-Oeste,1
86,86,2025-03-20,27310.53,293,105,Norte,1
87,87,2025-04-16,192082.95,29,106,Centro-Oeste,1
88,88,2024-03-27,7916.28,2,105,Sudeste,1
89,89,2024-08-06,47897.7,15,110,Sudeste,1
90,90,2024-03-28,120910.44,28,109,Centro-Oeste,1
92,92,2025-04-23,110823.25,25,103,Sul,1
94,94,2024-09-08,68868.8,56,101,Sudeste,1
95,95,2024-02-29,95192.1,30,103,Norte,1
96,96,2025-05-09,183014.8,20,104,Centro-Oeste,1
97,97,2025-06-03,107890.84,17,108,Nordeste,1
98,98,2025-02-12,92196.2,20,103,Norte,1
100,100,2025-05-01,63582.2,11,108,Centro-Oeste,1
101,101,2024-07-19,277930.39,41,101,Sudeste,1
102,102,2025-01-09,17912.7,5,110,Centro-Oeste,1
104,104,2024-03-19,74781.2,13,101,Centro-Oeste,1
105,105,2024-12-06,57549.6,45,105,Norte,1
106,106,2024-06-19,60214.88,22,103,Norte,1
107,107,2024-07-12,87722.76,12,104,Sudeste,1
108,108,2025-03-10,42337.75,65,106,Sudeste,1
109,109,2024-03-03,45540.66,22,102,Nordeste,1
110,110,2024-10-24,99463.73,43,107,Sul,1
111,111,2024-07-24,68423.46,21,104,Sudeste,1
112,112,2024-06-29,76205.04,87,102,Centro-Oeste,1
113,113,2025-02-12,79583.02,19,106,Sudeste,1
114,114,2025-01-15,44468.28,18,104,Sudeste,1
115,115,2025-06-27,254991.05,37,110,Norte,1
117,117,2024-12-17,122628.0,24,108,Sudeste,1
118,118,2024-06-19,131402.18,26,104,Sul,1
119,119,2024-10-27,39864.33,67,110,Sudeste,1
120,120,2025-04-12,79579.2,16,107,Norte,1
122,122,2024-02-26,8786.49,1,110,Nordeste,1
123,123,2024-03-16,81581.28,44,102,Sul,1
124,124,2024-03-12,146375.91,27,110,Norte,1
125,125,2024-06-06,51581.28,6,102,Nordeste,1
126,126,2024-11-02,25406.75,5,109,Sul,1
127,127,2024-06-07,74031.03,19,102,Sudeste,1
128,128,2025-01-18,79799.07,13,101,Nordeste,1
129,129,2024-06-22,38581.13,7,107,Centro-Oeste,1
130,130,2024-05-09,106152.72,12,102,Sul,1
131,131,2025-01-13,38472.12,9,106,Sudeste,1
132,132,2024-08-12,60207.84,126,110,Sudeste,1
133,133,2024-04-07,150002.8,40,103,Sudeste,1
135,135,2024-08-29,96197.01,21,102,Sudeste,1
136,136,2024-03-05,66201.1,5,101,Sul,1
137,137,2025-07-12,66163.89,13,105,Centro-Oeste,1
138,138,2025-05-08,17623.26,9,102,Centro-Oeste,1
139,139,2024-06-24,115304.64,48,109,Centro-Oeste,1
140,140,2024-07-11,48789.72,12,109,Sudeste,1
141,141,2025-05-13,71768.05,23,106,Sudeste,1
142,142,2024-10-31,36358.08,8,103,Nordeste,1
143,143,2024-03-26,166871.61,27,109,Sudeste,1
145,145,2024-02-06,54214.86,21,104,Norte,1
146,146,2024-02-09,218734.88,28,110,Nordeste,1
147,147,2024-11-28,238460.78,23,105,Norte,1
148,148,2024-07-30,120647.52,36,103,Sul,1
149,149,2024-12-02,116789.85,27,106,Sul,1
150,150,2025-05-16,122087.1,30,101,Sul,1
151,151,2025-04-08,82865.16,28,103,Norte,1
152,152,2024-12-11,69514.4,16,103,Sudeste,1
153,153,2025-01-06,76224.96,36,104,Norte,1
154,154,2025-01-12,80851.44,97,105,Norte,1
156,156,2024-08-30,39247.95,7,107,Centro-Oeste,1
157,157,2024-03-16,103103.28,24,106,Centro-Oeste,1
158,158,2024-12-06,94525.56,18,102,Sul,1
159,159,2024-05-04,48263.88,28,103,Centro-Oeste,1
161,161,2024-02-24,114059.4,26,107,Nordeste,1
162,162,2025-04-17,17351.4,3,108,Centro-Oeste,1
163,163,2025-06-03,115923.2,20,105,Nordeste,1
164,164,2025-01-22,22361.97,269,101,Sudeste,1
166,166,2024-09-10,28527.93,3,107,Norte,1
168,168,2024-09-30,5887.22,1,110,Centro-Oeste,1
169,169,2024-11-26,133009.1,35,105,Nordeste,1
170,170,2024-04-04,84364.32,16,110,Nordeste,1
171,171,2025-04-16,61397.7,14,110,Norte,1
172,172,2025-02-12,85444.75,25,104,Norte,1
173,173,2024-04-06,43215.3,15,108,Nordeste,1
174,174,2025-05-19,73305.39,93,103,Sudeste,1
175,175,2025-04-29,56428.55,103,110,Sudeste,1
176,176,2025-04-05,93711.36,32,109,Nordeste,1
177,177,2024-11-03,124099.0,20,103,Norte,1
178,178,2024-10-19,63592.64,37,110,Sudeste,1
179,179,2024-11-07,88180.8,16,108,Centro-Oeste,1
180,180,2024-05-09,54017.04,28,105,Norte,1
181,181,2024-10-17,61130.88,32,106,Nordeste,1
183,183,2025-02-27,56147.52,12,104,Norte,1
184,184,2024-08-05,80584.8,30,101,Sul,1
185,185,2024-05-25,162364.16,28,105,Sul,1
186,186,2024-01-28,33600.6,15,107,Nordeste,1
187,187,2025-03-29,36952.88,236,110,Norte,1
188,188,2024-04-20,61808.52,19,102,Sudeste,1
189,189,2024-08-02,66275.88,11,102,Norte,1
190,190,2025-04-13,107391.6,15,106,Norte,1
191,191,2025-03-18,27924.54,6,109,Centro-Oeste,1
192,192,2024-06-08,75621.9,30,103,Norte,1
193,193,2024-02-15,131474.3,38,107,Norte,1
194,194,2024-08-05,70784.28,36,107,Centro-Oeste,1
195,195,2024-11-08,48070.1,10,104,Sul,1
196,196,2025-02-27,4011.32,1,107,Sul,1
197,197,2024-04-10,86663.28,66,104,Centro-Oeste,1
199,199,2025-04-06,169372.42,49,104,Sudeste,1
200,200,2024-03-19,4941.31,1,104,Centro-Oeste,1
201,201,2024-06-23,157976.19,27,106,Sudeste,1
202,202,2024-12-17,70841.1,10,109,Norte,1
203,203,2025-07-13,105569.1,14,110,Norte,1
204,204,2024-08-08,89623.34,29,101,Sudeste,1
205,205,2024-06-08,174910.12,28,104,Sul,1
206,206,2025-06-30,36477.77,7,107,Nordeste,1
208,208,2024-12-15,73942.87,19,108,Norte,1
209,209,2025-03-26,12173.12,4,103,Norte,1
210,210,2025-03-09,63582.54,42,101,Centro-Oeste,1
211,211,2025-06-25,61049.95,13,108,Nordeste,1
212,212,2025-06-10,21945.75,3,102,Nordeste,1
213,213,2024-06-02,71690.46,43,104,Nordeste,1
215,215,2024-03-07,78080.12,71,108,Centro-Oeste,1
216,216,2024-11-16,86160.79,37,109,Sul,1
217,217,2024-02-29,54151.05,47,108,Centro-Oeste,1
218,218,2024-12-17,6002.47,1,110,Nordeste,1
219,219,2025-05-05,4804.96,1,105,Norte,1
220,220,2024-05-09,56679.48,36,107,Nordeste,1
221,221,2024-04-06,51396.1,98,106,Norte,1
222,222,2025-04-29,74401.36,22,108,Sudeste,1
223,223,2024-12-25,81525.15,27,105,Nordeste,1
224,224,2024-04-24,83032.29,9,101,Nordeste,1
225,225,2024-06-22,5914.65,1,108,Sul,1
226,226,2024-02-15,248117.61,39,101,Nordeste,1
227,227,2025-01-03,75825.58,19,110,Nordeste,1
228,228,2025-04-05,38358.23,167,107,Norte,1
229,229,2025-04-27,98359.25,47,101,Sul,1
230,230,2024-07-28,63155.76,158,107,Centro-Oeste,1
231,231,2025-07-14,120912.08,53,101,Norte,1
232,232,2024-12-13,123406.9,19,101,Centro-Oeste,1
233,233,2024-06-18,39848.1,30,105,Centro-Oeste,1
234,234,2024-07-03,77025.6,8,106,Centro-Oeste,1
235,235,2025-01-29,86216.18,17,102,Nordeste,1
236,236,2025-02-18,106023.36,16,107,Nordeste,1
238,238,2025-02-22,185664.85,35,103,Centro-Oeste,1
239,239,2025-02-19,35115.45,5,105,Sudeste,1
240,240,2025-01-15,83840.85,9,105,Norte,1
241,241,2025-02-19,119798.61,19,104,Centro-Oeste,1
242,242,2024-02-29,33201.96,6,109,Centro-Oeste,1
243,243,2024-04-20,87931.82,34,101,Nordeste,1
244,244,2024-06-07,58091.88,14,101,Norte,1
245,245,2025-06-26,160792.38,37,105,Norte,1
246,246,2024-10-12,53852.94,9,106,Centro-Oeste,1
247,247,2024-10-25,226492.04,23,101,Sul,1
248,248,2024-07-20,61465.76,76,106,Nordeste,1
249,249,2024-11-10,70066.0,10,110,Nordeste,1
250,250,2024-03-19,67744.32,14,108,Sul,1
251,251,2024-09-11,66983.4,15,108,Sudeste,1
252,252,2024-09-17,338019.12,36,108,Sudeste,1
253,253,2024-07-13,119905.96,19,106,Centro-Oeste,1
254,254,2025-03-26,74929.47,21,107,Nordeste,1
255,255,2024-10-21,71329.34,82,107,Sul,1
256,256,2025-01-31,45959.88,12,102,Norte,1
257,257,2024-05-19,69447.95,55,103,Sul,1
258,258,2024-11-11,52533.8,22,101,Centro-Oeste,1
260,260,2024-11-15,110122.77,17,105,Nordeste,1
261,261,2024-04-14,43788.32,8,102,Norte,1
262,262,2024-05-04,64032.78,21,107,Nordeste,1
263,263,2024-07-10,131134.2,19,109,Sudeste,1
264,264,2025-03-21,170950.0,13,104,Nordeste,1
265,265,2024-11-30,120741.8,20,104,Nordeste,1
267,267,2025-06-27,92716.16,32,107,Sudeste,1
268,268,2024-11-18,42757.26,41,106,Centro-Oeste,1
269,269,2025-03-10,241967.46,34,107,Sul,1
270,270,2024-11-26,64598.76,12,103,Sul,1
271,271,2024-07-12,9015.46,1,110,Sudeste,1
272,272,2024-01-30,5195.94,1,101,Sul,1
273,273,2024-12-29,4404.87,1,108,Nordeste,1
274,274,2024-04-25,120668.13,29,109,Norte,1
275,275,2024-03-25,36040.95,15,109,Sul,1
276,276,2025-04-04,78766.16,22,108,Nordeste,1
277,277,2025-02-27,83917.56,94,102,Sul,1
278,278,2024-05-25,150999.6,15,107,Sul,1
280,280,2024-09-16,55644.66,9,106,Norte,1
281,281,2024-10-15,48429.37,79,106,Sudeste,1
282,282,2025-01-12,191029.59,27,103,Centro-Oeste,1
283,283,2024-10-31,95226.01,17,106,Norte,1
287,287,2024-11-20,59985.24,84,109,Norte,1
288,288,2024-02-13,68257.28,8,109,Centro-Oeste,1
289,289,2024-04-27,25386.8,4,101,Nordeste,1
290,290,2025-06-06,9410.65,1,103,Centro-Oeste,1
291,291,2024-08-12,178309.98,29,104,Sudeste,1
292,292,2024-10-28,43005.04,8,105,Centro-Oeste,1
294,294,2024-01-24,83235.6,21,102,Nordeste,1
295,295,2024-09-09,85605.3,22,109,Nordeste,1
296,296,2024-02-02,40971.2,8,106,Sul,1
297,297,2024-11-16,40840.8,154,108,Centro-Oeste,1
298,298,2025-06-02,3956.02,1,102,Norte,1
299,299,2025-05-06,115115.4,31,110,Centro-Oeste,1
301,301,2025-04-11,93871.04,32,109,Centro-Oeste,1
302,302,2024-03-13,56828.88,18,104,Sul,1
303,303,2024-12-27,107599.05,27,104,Norte,1
304,304,2025-02-09,36553.22,11,109,Nordeste,1
305,305,2024-06-04,103273.3,34,106,Centro-Oeste,1
306,306,2024-10-05,5194.45,1,110,Centro-Oeste,1
307,307,2024-06-28,65537.64,42,105,Norte,1
308,308,2024-04-13,20979.04,8,105,Sudeste,1
309,309,2024-12-06,45354.3,10,103,Nordeste,1
310,310,2025-01-22,69013.5,50,101,Sudeste,1
311,311,2024-09-15,30767.76,12,102,Norte,1
312,312,2024-10-10,87311.5,25,104,Centro-Oeste,1
314,314,2024-02-18,90279.52,68,109,Nordeste,1
315,315,2025-01-13,95078.34,18,104,Sudeste,1
316,316,2024-12-10,329227.84,32,103,Centro-Oeste,1
317,317,2025-06-23,32510.2,10,109,Sudeste,1
318,318,2024-06-04,63815.57,13,101,Nordeste,1
319,319,2025-05-14,53103.36,96,108,Nordeste,1
320,320,2024-05-31,40147.91,11,106,Nordeste,1
321,321,2024-10-03,135555.75,25,108,Sul,1
322,322,2024-06-09,7385.1,2,108,Sul,1
323,323,2024-03-05,17961.0,5,106,Norte,1
324,324,2024-07-11,49540.8,20,109,Nordeste,1
325,325,2024-04-09,54682.98,11,102,Sudeste,1
326,326,2024-12-06,142691.6,29,106,Norte,1
327,327,2024-10-03,146672.1,27,103,Norte,1
328,328,2024-06-15,64939.58,158,106,Norte,1
329,329,2024-12-12,12653.85,3,102,Sudeste,1
330,330,2024-03-27,107652.24,24,106,Norte,1
331,331,2024-11-13,11037.06,2,108,Centro-Oeste,1
332,332,2024-06-02,125243.08,17,101,Centro-Oeste,1
333,333,2025-06-17,26768.75,5,104,Centro-Oeste,1
334,334,2024-03-22,124920.04,28,101,Sul,1
335,335,2024-11-24,111500.8,32,103,Centro-Oeste,1
336,336,2025-04-17,121614.36,28,105,Sul,1
337,337,2024-03-06,35154.51,239,106,Centro-Oeste,1
338,338,2025-06-18,53239.45,11,108,Sudeste,1
339,339,2025-01-02,4476.96,1,103,Sul,1
340,340,2024-08-25,45789.39,9,105,Nordeste,1
341,341,2025-01-13,100098.31,13,106,Nordeste,1
342,342,2025-03-27,70024.8,40,110,Centro-Oeste,1
343,343,2024-01-26,41718.05,11,110,Norte,1
344,344,2024-07-15,90750.46,19,101,Nordeste,1
345,345,2025-06-27,25311.85,5,104,Sudeste,1
346,346,2025-03-30,118969.6,29,107,Nordeste,1
347,347,2025-04-27,90660.57,13,101,Centro-Oeste,1
348,348,2025-03-09,60081.98,23,104,Centro-Oeste,1
349,349,2024-04-25,48848.25,75,106,Norte,1
350,350,2025-01-27,17654.8,5,106,Centro-Oeste,1
352,352,2024-10-17,61000.62,123,108,Sudeste,1
353,353,2025-05-19,2452.59,1,109,Norte,1
355,355,2025-03-23,43099.0,175,106,Sudeste,1
356,356,2024-04-29,59272.62,33,110,Nordeste,1
357,357,2024-04-23,72700.53,97,106,Nordeste,1
358,358,2025-05-22,54012.27,13,102,Centro-Oeste,1
359,359,2025-02-06,53985.2,8,105,Sudeste,1
360,360,2024-01-30,22919.68,7,101,Centro-Oeste,1
361,361,2025-02-25,40599.02,7,101,Centro-Oeste,1
362,362,2025-07-10,6698.93,1,109,Norte,1
363,363,2025-06-25,108046.38,39,104,Centro-Oeste,1
364,364,2024-03-05,95031.43,31,106,Sudeste,1
365,365,2024-07-01,68580.0,24,109,Norte,1
366,366,2024-04-21,22189.77,9,110,Centro-Oeste,1
367,367,2025-05-20,331847.56,31,102,Sudeste,1
368,368,2024-11-13,101660.0,40,108,Sul,1
369,369,2024-05-11,165768.12,27,109,Sudeste,1
370,370,2025-01-20,19404.77,7,104,Norte,1
371,371,2024-11-01,129586.46,38,105,Sudeste,1
372,372,2025-02-24,87686.68,17,107,Nordeste,1
373,373,2024-04-09,9312.44,2,106,Norte,1
374,374,2025-03-08,96962.57,71,104,Sul,1
375,375,2024-03-12,5043.24,1,107,Sul,1
377,377,2024-04-29,51906.54,14,108,Nordeste,1
378,378,2024-06-08,52235.94,19,106,Nordeste,1
379,379,2024-07-07,73660.28,94,103,Sudeste,1
380,380,2025-02-07,54257.22,6,101,Centro-Oeste,1
381,381,2025-03-05,51660.18,13,109,Nordeste,1
382,382,2024-06-13,77410.62,63,109,Sudeste,1
383,383,2024-10-19,21848.75,7,104,Sul,1
384,384,2024-10-05,81085.47,59,103,Norte,1
385,385,2025-07-03,62122.96,43,102,Sudeste,1
386,386,2024-10-18,20305.08,3,101,Sudeste,1
387,387,2024-11-30,411072.84,36,106,Centro-Oeste,1
388,388,2024-10-14,119336.19,23,101,Nordeste,1
390,390,2024-12-17,86618.7,35,102,Norte,1
391,391,2024-09-05,113140.23,21,108,Sudeste,1
392,392,2024-11-18,7219.11,1,103,Norte,1
393,393,2024-02-21,101849.26,31,107,Sul,1
396,396,2024-11-02,5913.77,1,104,Centro-Oeste,1
397,397,2024-02-08,27615.7,7,103,Centro-Oeste,1
398,398,2025-03-13,34214.8,10,109,Sudeste,1
399,399,2025-01-11,30676.08,6,108,Centro-Oeste,1
400,400,2024-11-03,101425.5,30,101,Nordeste,1
401,401,2024-07-14,10062.08,1,109,Norte,1
402,402,2024-10-21,48663.44,14,105,Centro-Oeste,1
403,403,2024-03-28,46165.2,15,108,Sudeste,1
404,404,2024-08-19,87202.71,29,108,Centro-Oeste,1
405,405,2024-03-04,109341.96,13,105,Nordeste,1
407,407,2024-09-02,40797.61,7,110,Norte,1
408,408,2024-08-18,60292.89,9,104,Norte,1
409,409,2024-06-03,88784.37,23,105,Norte,1
410,410,2024-09-07,43612.8,165,105,Nordeste,1
411,411,2025-05-10,27388.08,12,107,Nordeste,1
412,412,2024-02-19,123932.4,20,103,Norte,1
413,413,2024-06-18,101196.8,20,103,Centro-Oeste,1
414,414,2024-02-11,137102.14,14,107,Centro-Oeste,1
415,415,2024-06-05,68326.09,49,109,Norte,1
416,416,2024-11-11,8328.26,1,108,Sudeste,1
417,417,2024-01-27,66979.2,24,103,Sudeste,1
419,419,2024-02-22,208020.4,28,109,Norte,1
420,420,2024-04-19,95105.2,20,102,Centro-Oeste,1
421,421,2025-01-26,61447.12,56,103,Sudeste,1
422,422,2024-08-12,41092.26,69,105,Centro-Oeste,1
423,423,2025-01-26,44536.91,11,106,Sul,1
424,424,2024-04-06,72257.64,52,103,Norte,1
425,425,2025-05-15,9267.34,1,107,Norte,1
426,426,2025-04-26,122560.96,29,103,Nordeste,1
428,428,2025-03-19,43651.66,13,101,Sul,1
429,429,2025-06-09,74171.44,19,104,Sul,1
430,430,2025-01-27,101767.64,23,109,Sul,1
431,431,2024-11-25,179552.52,28,105,Sul,1
432,432,2025-01-09,141055.32,21,106,Nordeste,1
433,433,2025-03-26,45986.02,17,104,Sudeste,1
434,434,2024-12-09,112242.84,17,110,Sul,1
435,435,2024-06-30,19447.62,6,110,Norte,1
436,436,2024-02-18,14065.08,6,103,Sul,1
437,437,2024-11-26,40646.16,24,109,Centro-Oeste,1
438,438,2024-05-07,39092.79,11,109,Norte,1
439,439,2025-01-10,78589.98,17,103,Centro-Oeste,1
440,440,2024-10-24,86666.55,15,109,Sul,1
442,442,2024-07-18,112062.9,109,104,Centro-Oeste,1
443,443,2025-06-11,53490.0,20,109,Sul,1
444,444,2025-07-04,83401.2,30,102,Sul,1
445,445,2025-04-22,94766.84,34,106,Sul,1
446,446,2025-07-06,69362.44,86,105,Nordeste,1
447,447,2025-01-25,94250.88,16,103,Sul,1
448,448,2024-04-11,33615.4,14,103,Centro-Oeste,1
449,449,2024-07-18,73808.77,103,110,Centro-Oeste,1
450,450,2025-03-01,53071.62,14,107,Norte,1
451,451,2025-02-18,59903.2,14,102,Sul,1
452,452,2025-05-07,86552.95,85,106,Centro-Oeste,1
453,453,2025-06-01,97635.98,26,101,Nordeste,1
454,454,2025-05-26,74913.48,36,102,Sul,1
455,455,2024-05-24,60356.88,108,105,Sudeste,1
456,456,2025-02-24,76686.4,28,110,Sudeste,1
457,457,2024-07-01,105304.46,38,101,Nordeste,1
458,458,2024-12-03,79257.69,81,110,Sudeste,1
460,460,2024-12-19,105388.5,35,109,Sul,1
461,461,2024-04-11,83043.96,12,107,Norte,1
464,464,2025-01-19,40115.25,175,102,Nordeste,1
465,465,2025-07-08,51187.5,14,109,Sul,1
466,466,2024-04-25,29177.01,9,109,Sudeste,1
467,467,2024-02-03,123669.29,19,103,Sul,1
469,469,2025-01-08,76628.33,19,104,Sul,1
470,470,2024-09-14,186216.94,26,102,Sudeste,1
471,471,2025-06-16,58163.16,22,104,Centro-Oeste,1
472,472,2024-07-30,119607.6,12,110,Norte,1
474,474,2024-06-25,116745.73,37,109,Nordeste,1
475,475,2024-06-15,2332.45,1,109,Centro-Oeste,1
476,476,2024-10-23,110979.84,32,106,Sul,1
477,477,2025-01-03,25412.32,284,101,Centro-Oeste,1
478,478,2025-07-11,83358.94,14,103,Sul,1
479,479,2024-12-30,65930.04,36,101,Norte,1
481,481,2024-04-29,115386.46,14,107,Sul,1
482,482,2024-07-30,65531.88,87,105,Norte,1
483,483,2025-03-30,124272.06,22,108,Sudeste,1
484,484,2025-02-05,5190.88,1,103,Centro-Oeste,1
486,486,2025-05-05,76254.43,23,103,Norte,1
488,488,2024-10-22,61660.02,183,102,Sul,1
489,489,2025-03-20,61166.28,84,105,Sul,1
490,490,2025-06-12,93837.6,36,105,Sudeste,1
491,491,2024-11-16,84625.42,22,109,Nordeste,1
492,492,2025-02-12,87699.9,15,108,Norte,1
493,493,2024-08-07,27266.4,7,107,Sudeste,1
494,494,2024-11-26,241251.6,24,106,Sul,1
495,495,2025-02-22,11578.71,1,101,Nordeste,1
496,496,2024-03-21,4305.28,1,102,Nordeste,1
497,497,2025-05-10,98624.4,10,109,Sul,1
498,498,2025-04-19,62357.58,27,110,Norte,1
499,499,2024-11-04,41590.67,187,108,Norte,1
500,500,2025-03-13,66505.13,19,103,Sul,1
502,502,2024-10-31,54536.3,91,105,Sudeste,1
503,503,2024-12-21,20382.78,6,105,Sul,1
504,504,2025-07-13,269788.4,28,106,Sudeste,1
505,505,2024-07-11,30280.62,3,105,Nordeste,1
506,506,2025-04-17,111315.6,40,101,Sul,1
507,507,2025-02-12,53412.69,93,108,Centro-Oeste,1
508,508,2024-12-20,78890.88,34,106,Nordeste,1
509,509,2024-08-20,86170.24,32,101,Norte,1
510,510,2024-12-21,105789.34,19,106,Nordeste,1
511,511,2025-02-27,79494.66,98,110,Centro-Oeste,1
512,512,2024-04-19,86779.77,21,106,Centro-Oeste,1
513,513,2024-02-04,64151.22,21,107,Norte,1
514,514,2024-11-09,171345.24,27,102,Sudeste,1
516,516,2024-02-22,72361.96,58,101,Nordeste,1
517,517,2025-06-01,101836.7,35,102,Centro-Oeste,1
518,518,2024-07-29,46992.78,9,105,Centro-Oeste,1
519,519,2025-03-07,26482.17,11,108,Norte,1
520,520,2025-06-03,192581.92,41,108,Sul,1
521,521,2025-04-16,92749.4,20,107,Centro-Oeste,1
522,522,2024-06-19,89133.75,27,108,Nordeste,1
523,523,2025-04-05,81654.5,25,107,Sudeste,1
524,524,2024-05-13,29026.08,8,109,Centro-Oeste,1
525,525,2024-06-14,68941.08,78,107,Sudeste,1
527,527,2025-06-07,59260.88,23,104,Sul,1
528,528,2024-11-17,75137.16,14,101,Norte,1
529,529,2025-01-13,104828.51,19,107,Centro-Oeste,1
530,530,2025-06-06,45392.93,11,105,Centro-Oeste,1
532,532,2024-10-09,61899.2,16,103,Norte,1
533,533,2024-04-01,64452.32,16,101,Sudeste,1
534,534,2024-03-17,41967.64,242,110,Centro-Oeste,1
535,535,2024-02-10,5378.73,1,103,Centro-Oeste,1
536,536,2024-06-26,4285.78,1,106,Centro-Oeste,1
537,537,2025-04-21,84803.76,12,105,Norte,1
538,538,2025-02-16,120845.91,43,107,Centro-Oeste,1
539,539,2024-12-12,65249.58,22,103,Norte,1
758,758,2024-07-24,49605.12,36,108,Sul,1
540,540,2024-12-22,39544.89,159,102,Norte,1
541,541,2024-05-02,65076.34,17,108,Centro-Oeste,1
542,542,2024-08-07,56817.45,15,110,Sul,1
543,543,2024-04-27,81317.12,101,108,Sul,1
544,544,2024-07-29,113945.66,19,104,Sudeste,1
545,545,2024-12-17,21699.36,4,101,Centro-Oeste,1
546,546,2025-01-24,45075.64,4,104,Sul,1
547,547,2025-06-12,44070.08,16,102,Norte,1
548,548,2024-03-12,75088.05,15,101,Sudeste,1
549,549,2024-12-30,60730.95,21,105,Sudeste,1
